geouid_21	poi_den	den_21
2050122.04	10.843201597945498	1177.3
2050122.05	33.36113427856547	2749
2050123.01	2.90483666391705	50.3
2050123.02	21.881335832600133	309.6
2050123.05	101.60924283061688	1921.3
2050123.06	15.301318267419962	1603.7
2050123.07	111.27910492893862	2308.4
2050123.08	6.536802196365538	3318.1
2050123.09	3.3539039441910385	2267.2
2050130.03	1.915653764738561	265.1
2050130.04	3.3564712299136175	183.4
2050130.07	1.8959817037765585	347.3
2050130.08	1.3571283164823236	268.9
2050130.09	0.19676554916327793	30
2050131.01	7.579384075315143	1980.2
2050131.02	63.93806272019486	1772
2050131.03	38.42523931508696	1059.6
2050131.04	37.250764394298265	740.9
2050131.05	9.602253328781154	732.8
2050132.03	8.017166167558774	1570.4
2050132.04	1.0649894127523085	194.5
2050132.06	1.5672519724560425	258.2
2050132.07	0.288397904106179	94.9
2050132.10	1.258983215532002	86.9
2050140.00	0.6226269689109433	39.7
2050141.00	0.564316393391228	33.9
2050142.01	4.917373228628053	838.5
2050142.02	5.86444029266727	89.4
2050143.01	0.7184562840797594	20.7
2050143.02	1.0351572076906732	64.9
2050150.01	0.8763456186244598	66.3
2050150.02	0.599415082398664	88.1
2050151.00	0.3965583269317489	34.7
2050152.00	0.04689750372673439	7.1
2050153.00	0.18164148665013866	5.1
2050154.03	3.9944078290393445	20
2050154.04	0.049607764099622545	1.9
2050200.00	0.1060214963502373	4.5
2050201.00	0.7737680326969751	30.3
2050202.00	0.16078470615875018	11.9
2050300.00	0.4938962653210737	225.5
3050001.00	763.305609046585	531.4
3050002.00	37.83815993326183	1418.5
3050003.01	7.902799459650953	93.1
3050003.04	26.1190919447609	740.1
3050003.05	1.7534910412548619	415.7
3050003.06	14.792899408284025	2172.9
3050004.01	20.57150204107872	1292.5
3050004.02	43.85964912280702	3037.9
3050005.00	55.867514180657295	837.2
3050006.00	320.2264863164517	3010.4
3050007.00	268.37245094267024	3051.2
3050008.00	85.89276418532015	2079.6
3050009.00	165.5973113351665	2964.3
3050010.01	40.88478876192473	1242.8
3050010.03	26.35740643120717	1405.6
3050010.04	6.626674107142858	754.7
3050011.00	2.1016696394631422	80.8
3050012.01	25.71598722321477	1286.9
3050012.02	3.0566845161947676	475.6
3050013.00	81.80441665191827	1339.2
3050014.02	2.9514516323334536	419.5
3050014.03	1.484336768181386	116.3
3050014.05	2.512326099927771	535.8
3050014.06	6.7784355370780425	1522
3050014.07	2.23613595706619	1876.1
3050015.02	0.4212678675986953	22.6
3050016.01	1.169054871436267	22.4
3050016.02	0.585747496918889	23
3050100.00	0.2785654386392693	13.6
